,Store Number,City,Sales,Ave. Sale Price,County Number,Zip Code,Ave. Margin per Liter,Volume Sold(L),Ave. Volume sold(L),Margin,Q1 Sales
1010,4801,DES MOINES,9994.05,129.792857143,77,50311,0.643676046176,802.5,10.4220779221,4.73467532468,2671.8
1011,4802,DES MOINES,17806.98,160.423243243,77,50310,0.568953834787,1294.5,11.6621621622,5.11189189189,3625.74
1012,4803,DES MOINES,11577.42,163.062253521,77,50313,0.517937625755,762.0,10.7323943662,4.87985915493,3059.82
1013,4804,DES MOINES,9908.82,154.8253125,77,50312,0.526052331349,787.5,12.3046875,4.96921875,1724.28
1014,4805,FORT DODGE,14307.2,81.7554285714,94,50501,1.92766680988,963.73,5.50702857143,3.68017142857,3705.17
1015,4806,WEST LIBERTY,10268.38,144.625070423,70,52776,1.23760954617,572.0,8.05633802817,6.37281690141,1812.64
1016,4807,WILLIAMSBURG,22577.95,139.370061728,48,52361,0.624629447664,1971.5,12.1697530864,4.87438271605,4899.2
1017,4808,COUNCIL BLUFFS,5789.92,99.8262068966,78,51501,0.618793616585,428.35,7.38534482759,3.54396551724,1155.66
1018,4810,ANKENY,9260.7,89.9097087379,77,50021,1.75427363165,617.67,5.9967961165,4.07485436893,2544.77
1019,4811,LOVILIA,812.44,73.8581818182,68,50150,1.26283008658,48.15,4.37727272727,3.66090909091,157.06
1020,4812,CHARLES CITY,4837.83,124.046923077,34,50616,1.2631517094,291.02,7.46205128205,5.02153846154,4837.83
1021,4813,GRAND MOUND,2814.35,57.4357142857,23,52751,3.01976880978,244.33,4.98632653061,4.19265306122,337.2
1022,4817,KNOXVILLE,4062.5,81.25,63,50138,1.14390694703,342.3,6.846,3.5524,814.85
1023,4818,DECORAH,11589.1,125.968478261,96,52101,1.09408428226,835.57,9.0822826087,4.27663043478,3727.86
1024,4819,ALTOONA,12318.8,41.7586440678,77,50009,3.29482374612,913.27,3.09583050847,3.74813559322,3081.08
1025,4820,INWOOD,7276.27,47.8701973684,60,51240,3.00696976817,594.3,3.90986842105,4.68085526316,1748.26
1026,4821,OSKALOOSA,2919.18,126.920869565,62,52577,0.373823326432,254.7,11.0739130435,2.67434782609,997.08
1027,4823,CRESTON,2267.58,61.2859459459,88,50801,1.4740677808,185.25,5.00675675676,4.02810810811,607.39
1028,4824,CRESTON,3972.64,116.842352941,88,50801,1.379365525,256.7,7.55,4.02235294118,1034.39
1029,4825,OSCEOLA,4921.42,100.437142857,20,50213,0.759862325883,329.0,6.71428571429,3.70755102041,1557.16
1030,4827,IOWA CITY,19624.39,142.205724638,52,52240,1.55554477226,1204.2,8.72608695652,5.36173913043,4041.78
1031,4828,MARSHALLTOWN,4887.9,203.6625,64,50158,0.430787698413,357.6,14.9,4.38375,991.32
1032,4829,DES MOINES,874664.18,478.219890651,77,50314,1.14518821491,50645.74,27.6903991252,6.19470749043,203417.63
1033,4831,BOONE,2224.13,57.028974359,8,50036,3.25606328856,191.8,4.91794871795,4.46897435897,321.81
1034,4834,MUSCATINE,270.72,90.24,70,52761,0.31,24.0,8.0,2.16666666667,134.52
1035,4836,IOWA CITY,7815.83,100.202948718,52,52240,1.61672178769,575.03,7.37217948718,4.00948717949,2441.55
1036,4837,IOWA CITY,8566.72,103.213493976,52,52240,1.37161248167,652.52,7.86168674699,4.05204819277,1614.21
1037,4838,OGDEN,1443.15,111.011538462,8,50212,0.632182539683,101.4,7.8,3.18846153846,219.12
1038,4839,Northwood,12309.75,117.235714286,98,50459,1.90459627561,1134.08,10.8007619048,4.872,2801.3
1039,4840,WATERLOO,7856.09,77.7830693069,7,50707,2.92042304089,400.45,3.96485148515,4.25267326733,1861.75
1040,4841,DAVENPORT,3708.76,95.0964102564,82,52804,1.83693426943,219.75,5.63461538462,3.54307692308,687.12
1041,4843,MUSCATINE,1737.77,46.9667567568,70,52761,4.72949099099,92.38,2.49675675676,4.99324324324,180.83
1042,4844,IOWA CITY,2137.9,46.4760869565,52,52240,2.99847881151,127.55,2.77282608696,4.7897826087,561.54
1043,4845,CEDAR RAPIDS,5881.79,120.036530612,57,52401,2.33142838683,406.45,8.29489795918,5.3712244898,1072.61
1044,4846,ONAWA,3138.69,112.096071429,67,51040,0.556865787982,201.6,7.2,3.23535714286,1122.78
1045,4847,LECLAIRE,15528.35,68.4068281938,82,52753,2.70044674426,1258.43,5.54374449339,4.6718061674,4775.9
1046,4848,WINTERSET,4753.04,66.0144444444,61,50273,1.83709329674,315.55,4.38263888889,3.95555555556,1169.96
1047,4849,DES MOINES,9997.34,499.867,77,50314,1.72029097222,249.0,12.45,10.0625,1474.32
1048,4852,CEDAR RAPIDS,2630.45,119.565909091,57,52404,0.822136211741,181.03,8.22863636364,4.01681818182,501.18
1049,4853,JOHNSTON,2658.89,60.4293181818,77,50131,2.55443130392,182.05,4.1375,3.65704545455,381.91
1050,4854,ARMSTRONG,2116.44,151.174285714,32,50514,0.320848450491,195.0,13.9285714286,3.30285714286,723.72
1051,4855,STRAWBERRY POINT,1038.36,259.59,22,52076,0.272056878307,87.0,21.75,3.9125,358.32
1052,4856,LISBON,8916.77,81.0615454545,57,52253,1.24329632035,740.6,6.73272727273,4.49472727273,1931.43
1053,4857,WEST BURLINGTON,2561.83,65.6879487179,29,52655,2.980864141,141.1,3.61794871795,4.28871794872,1008.36
1054,4858,WEST BURLINGTON,711.53,39.5294444444,29,52655,2.74794973545,43.15,2.39722222222,4.15277777778,134.7
1055,4859,BURLINGTON,4126.95,114.6375,29,52601,1.37447861552,263.5,7.31944444444,4.07472222222,1750.66
1056,4860,CEDAR RAPIDS,21244.52,113.002765957,57,52404,3.31925833464,890.65,4.7375,4.59239361702,1915.39
1057,4861,CEDAR RAPIDS,5796.19,59.1447959184,57,52404,2.43548664613,421.46,4.3006122449,4.22693877551,1297.59
1058,4862,KINGSLEY,4294.86,113.022631579,75,51028,1.16107142857,375.75,9.88815789474,4.36552631579,1355.64
1059,4864,CLINTON,17360.31,134.576046512,23,52733,0.52846251438,1113.97,8.63542635659,3.96364341085,5004.45
1060,4866,COUNCIL BLUFFS,11120.2,45.3885714286,78,51501,2.69856448665,734.9,2.99959183673,4.09934693878,2444.94
1061,4867,COUNCIL BLUFFS,6364.7,106.078333333,78,51501,0.55585677699,523.58,8.72633333333,2.933,2205.12
1062,4868,WAUKEE,5807.01,93.6614516129,25,50263,1.42160138249,424.52,6.84709677419,4.30048387097,1469.4
1063,4869,GUTTENBERG,12800.22,83.1183116883,22,52052,3.22080705009,811.1,5.26688311688,5.95461038961,3453.69
1064,4870,BETTENDORF,727.15,48.4766666667,82,52722,2.15447089947,62.52,4.168,3.182,727.15
1065,4872,EARLHAM,2854.65,89.2078125,61,50072,1.20634864236,272.97,8.5303125,3.923125,1131.87
1066,4873,GRANGER,3770.35,83.7855555556,25,50109,1.22556790123,326.36,7.25244444444,3.43244444444,1372.96
1067,4874,MOUNT PLEASANT,7252.7,26.3734545455,44,52641,3.71501152262,525.9,1.91236363636,3.74,1654.54
1068,4876,HIAWATHA,16571.42,144.099304348,57,52233,0.425787545486,1034.95,8.99956521739,2.91530434783,6892.62
1069,4877,CLIVE,27126.19,148.230546448,77,50325,1.92621492541,1429.3,7.81038251366,5.52639344262,7322.59
1070,4878,PRIMGHAR,8596.51,95.5167777778,71,51245,2.27044223986,580.85,6.45388888889,5.95566666667,1207.16
1071,4879,SIOUX CITY,28214.6,127.092792793,97,51106,1.29462883931,2029.03,9.13977477477,4.20355855856,5199.24
1072,4880,ANITA,1202.34,109.303636364,15,50020,0.626573773449,116.1,10.5545454545,3.38636363636,171.6
1073,4881,COON RAPIDS,6899.61,81.1718823529,14,50058,2.39793837535,556.95,6.55235294118,4.91305882353,2194.13
1074,4882,ST CHARLES,2397.16,114.15047619,61,50240,0.912123960695,217.8,10.3714285714,3.74523809524,1168.32
1075,4883,SIGOURNEY,3577.9,40.2011235955,54,52591,2.55566568575,319.49,3.5897752809,4.24764044944,571.81
1076,4884,SIOUX CITY,3927.86,115.525294118,97,51106,1.23220121382,319.25,9.38970588235,3.50411764706,547.08
1077,4885,ZWINGLE,4598.41,114.96025,49,52079,0.924020331622,372.74,9.3185,3.71325,1263.88
1078,4887,WEST DES MOINES,3571.51,127.553928571,77,50266,0.71264739229,232.9,8.31785714286,4.10035714286,903.55
1079,4888,SERGEANT BLUFF,10512.23,74.554822695,97,51054,1.86772803388,582.27,4.12957446809,4.39680851064,2029.41
1080,4889,DES MOINES,1479.26,29.0050980392,77,50315,4.19763898103,125.52,2.46117647059,3.48549019608,1299.31
