,Company Name,Job Title,average_salary,city,state
11295,Johns Hopkins University,Postdoctoral Fellowship in Immuno-Oncology,45000.0,Baltimore,MD
11300,Johns Hopkins University,Data Scientist,65643.5,Baltimore,MD
11310,State of Maryland,EDUCATION PROGRAM SPECIALIST I (Education Research Associate...,78873.0,Baltimore,MD
11317,Johns Hopkins University,Research Billing Compliance Analyst,66956.5,Baltimore,MD
11378,National Security Agency,Data Scientist - Experienced,116850.0,Fort George G Meade,MD
11386,National Security Agency,Mathematicians,75091.5,Fort George G Meade,MD
11387,National Security Agency,Mathematical Statisticians,75091.5,Fort George G Meade,MD
11390,National Security Agency,Operations Research Analyst,75091.5,Fort George G Meade,MD
11420,National Security Agency (NSA),Cryptologic Computer Scientist,75091.5,Fort Meade,MD
11855,Boy Scouts of America,Senior Statistical Data Coordinator,50000.0,Irving,TX
11860,"NewAgeSys,Inc",Analytical Scientist,80000.0,Fort Worth,TX
11886,Selby Jennings,Quantitative Analyst - Multiple Vacancies,150000.0,Dallas,TX
11931,NextStep Recruiting,Pricing and Quantitative Analyst,85000.0,Irving,TX
11964,All-In Analytics,Senior Marketing Data Scientist,90000.0,Dallas,TX
12041,Selby Jennings,Catastrophe Risk Analyst - Quantitative,97500.0,Dallas,TX
12582,University of Virginia,Web Developer/Designer & Statistical Analyst,57500.0,Charlottesville,VA
12583,Axon Connected,Cytotechnologist / Laboratory Technician / Laboratory Scient...,65000.0,Earlysville,VA
12597,University of Virginia,Bioinformatics Analyst,60000.0,Charlottesville,VA
12598,University of Virginia Health System,Data Scientist Intermediate,95482.5,Charlottesville,VA
12619,University of Virginia,Geospatial Consultant,60000.0,Charlottesville,VA
13308,3coast,Senior Quantitative Analyst,115000.0,Cincinnati,OH
13366,Pomeroy IT Solutions,System Engineer I,50000.0,Mason,OH
13378,Cincinnati Zoo & Botanical Garden,Research Associate,33500.0,Cincinnati,OH
13390,Selby Jennings,Research Analyst- 8.5bn AUM Wealth Management,112500.0,Cincinnati,OH
14033,Hunter International,GC-MS Scientist,70000.0,Cleveland,OH
14041,Hunter International,Quality Control Scientist,60000.0,Cleveland,OH
14081,Emerald Resource Group,Data Scientist Lead,110000.0,Cleveland,OH
14762,"NewAgeSys,Inc",Scientist (Novartis),50000.0,Cambridge,MA
14764,Jobspring Partners,Senior Data Scientist,150000.0,Boston,MA
14765,Domeyard LP,HPC Scientist at HFT Hedge Fund,120000.0,Boston,MA
14806,Domeyard LP,High Performance Computing Scientist needed for HFT Firm,120000.0,Boston,MA
14809,Jobspring Partners,Data Analyst,92500.0,Boston,MA
14810,LIBERTY MUTUAL GROUP,"Assistant Director, Predictive Modeling",134950.0,Boston,MA
14815,Jobspring Partners,Data Analysis,90000.0,Boston,MA
14828,Jobspring Partners,Data Scientist/Engineer,105000.0,Cambridge,MA
14866,"NewAgeSys,Inc",Scientist (PFIZER),45000.0,Andover,MA
14947,Jobspring Partners,Deep Learning Engineer,170000.0,Boston,MA
15098,Rifiniti,Assistant to the President,55000.0,Boston,MA
15099,"Engineering Resource Group, Inc.",Lead Machine Learning Data Analyst,97500.0,Boston,MA
15108,MaxMind,Data Scientist,100000.0,Waltham,MA
15211,US Engineering Technical Services,Data Analyst,110000.0,Wilmington,MA
15215,Northeastern University,Research Scientist,60000.0,Boston,MA
15317,Harnham,"DATA SCIENTIST TEAM MANAGER, CUTTING EDGE TECH BUSINESS",180000.0,Cambridge,MA
15391,The Bivium Group,"Data Engineer - Big Data Services, AWS",125000.0,Cambridge,MA
15423,LIBERTY MUTUAL GROUP,Senior Software Developer,112750.0,Boston,MA
15453,Jobspring Partners,Data Scientist,100000.0,Boston,MA
15496,Selby Jennings,Catastrophe Risk Analyst - Quantitative,97500.0,Boston,MA
15502,Harnham,DIRECTOR OF DATA SCIENCE - RETAIL,200000.0,Boston,MA
16171,The Bivium Group,"Data Scientist - healthcare, hacking coding skills",115000.0,Cambridge,MA
16249,Strategic Employment Partners,Data Scientist,112500.0,Cambridge,MA
